Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Pro,Network,Comments,4/16/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515042019,Consumer Federation of America & Consumers Union,Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/5515042019/1,,"Apr 17, 2008",Consumer Federation of America,Consumers Union,,,,,,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680755,"EarthLink, Inc. and New Edge Network, Inc.",Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5514680755/1,,"June 15, 2007",EarthLink,New Edge Networks,,,,,,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681246,"Consumer Federation of America, Consumers Union, Free Press, Media Access Projec",Refer to Attachment(s).,326,https://www.fcc.gov/ecfs/document/5514681246/4,,"June 15, 2007",Free Press,Consumer Federation of America,Consumers Union,Media Access Project,U.S. Public Interest Research Group,,,,,,,,,,,,,
Pro,Network,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992302,"Free Press, Public Knowledge, MAP, CFA, CU, NAF and PCF",Refer to Attachment(s).,100,https://www.fcc.gov/ecfs/document/5514992302/1,,2/13/2008,Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Pro,Network,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681160,"NATOA, NLC, NACo",Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5514681160/1,,6/15/2007,National Association of Telecommunications Officers & Advisors,National Association of Counties,National League of Cities,,,,,,,,,,,,,,,
Pro,Network,Document,2/22/2008,OPPOSITION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993826,"Free Press, Public Knowledge, CU, CFA, PCP, Media Access Project",Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514993826/1,,"February 22, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Pro,Network,Document,11/1/2007,PETITION,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514976670,Free Press et al,Refer to Attachment(s).,39,https://www.fcc.gov/ecfs/document/5514976670/1,,"November 1, 2007",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,Information Society Project at Yale Law School,"Charles Nesson, Harvard Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,
Pro,Network,In person,3/10/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515015819,Consumer Federation of America andConsumers Union,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515015819/1,,"Marcy 4, 2008",Consumer Federation of America,Consumers Union,,,,,,,,,,,,,,,,
Pro,Network,In person,1/15/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514974654,Public Knowledge and Free Press,Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/5514974654/1,,"January 15, 2008",Free Press,Public Knowledge,,,,,,,,,,,,,,,,
Pro,Network,In person,2/19/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993223,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514993223/1,,"February 15, 2008",Free Press,"Tim Wu, Columbia Law School",,,,,,,,,,,,,,,,
Pro,Network,In person,2/22/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514993635,Public Knowledge and Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514993635/1,,"February 22, 2008",Free Press,Public Knowledge,,,,,,,,,,,,,,,,
Pro,Network,In person,3/21/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515018645,"Free Press, Google, Amazon, Public Knolwedge",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515018645/1,,"March 21, 2008",Free Press,Public Knowledge,Amazon,Google,,,,,,,,,,,,,,
Pro,Network,In person,5/15/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159326,"Public Knowledge, Free Press, Media Access Project, and New America Foundation",Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515159326/1,,"May 15, 2008",Free Press,Public Knowledge,Media Access Project,New America Foundation,,,,,,,,,,,,,,
Pro,Network,In person,7/21/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183193,Free Press,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5515183193/1,,"July 18, 2008",Free Press,Public Knowledge,Media Access Project,"David Vladeck, Georgetown University Law Center","Tim Wu, Columbia Law School","Amanda Leiter, Catholic University Law School","John Blevins, South Texas College of Law",,,,,,,,,,,
Pro,Network,In person,7/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183673,Free Press and Media Access Project,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515183673/1,,7/23/2008,Free Press,Media Access Project,,,,,,,,,,,,,,,,
Pro,Network,In person,5/1/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515156926,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515156926/1,,"April 30, 2008",Open Internet Coalition,Free Press,Public Knowledge,Skype,Google,,,,,,,,,,,,,
Pro,Network,In person,7/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183862,Open Internet Coalition,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183862/1,,"July 24, 2008",Open Internet Coalition,Free Press,eBay,Consumers Union,IAC,Computer & Communications Industry Association,,,,,,,,,,,,
Pro,Network,In person,7/17/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183004,Public Interest Spectrum Coalition,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5515183004/1,Public Interest Spectrum Coalition,"July 16, 2008",Media Access Project,Public Knowledge,New America Foundation,,,,,,,,,,,,,,,
Pro,Network,In person,11/20/2007,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514966497,Free Press,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514966497/1,,11/19/2007,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,2/7/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514991199,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5514991199/1,,2/7/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,6/12/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515176753,Free Press,Refer to Attachment(s).,112,https://www.fcc.gov/ecfs/document/5515176753/1,,6/11/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,In person,7/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183675,Free Press,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515183675/1,,7/23/2008,Free Press,Marvin Ammori,,,,,,,,,,,,,,,,
Pro,Network,Letter,8/21/2008,LETTER,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515188855,Jack Balkin and Barbara van Schewick,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515188855/1,,8/21/2008,"Jack Balkin, Yale Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,,,,,,,
Pro,Network,Reply Comments,7/16/2007,"ERRATA, ERRATUM OR ADDENDUM",STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514709053,"Public Knowledge, et al.",Refer to Attachment(s).,24,https://www.fcc.gov/ecfs/document/5514709053/1,,"July 16, 2007",Free Press,Public Knowledge,Consumer Federation of America,EDUCAUSE,Electronic Frontier Foundation,Electronic Privacy Information Center,Freeculture.Org,Knowledge Ecology International,Media Access Project,New America Foundation,U.S. Public Interest Research Group,,,,,,,
Pro,Network,Reply Comments,2/29/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515007255,"Free Press, Public Knowledge, MAP, CFA, CU, NAF and PCF",Refer to Attachment(s).,62,https://www.fcc.gov/ecfs/document/5515007255/1,,"February 28, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,New America Foundation,Participatory Culture Foundation,,,,,,,,,,,
Pro,Network,Written,7/29/2008,INTENT TO PARITICIPATE IN ORAL ARGUMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515184196,Free Press,Refer to Attachment(s).,27,https://www.fcc.gov/ecfs/document/5515184196/1,,"July 28, 2008",Free Press,Public Knowledge,Media Access Project,Consumer Federation of America,Consumers Union,Information Society Project at Yale Law School,"Charles Nesson, Harvard Law School","Barbara van Schewick, Stanford Law School",,,,,,,,,,
Pro,Solo,Comment,4/7/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515021056,Jon Peha,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5515021056/1,,4/4/2008,"Jon Peha, Carnegie Mellon Univ.",,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/25/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994279,Aaron G.,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514994279/1,,Cited in Order,Aaron G.,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,4/16/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515041993,ACLU Washington Legislative Office and ACLU of Northern California,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515041993/1,,,American Civil Liberties Union,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680793,American Homeowners Grassroots Alliance,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514680793/1,,,American Homeowners Grassroots Alliance,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680995,American Library Association,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680995/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680995,American Library Association,Refer to Attachment(s).,13,https://www.fcc.gov/ecfs/document/5514680995/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992180,American Library Association,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992180/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992180,American Library Association,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992180/1,,,American Library Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681157,Center for Democracy & Technology,Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5514681157/1,,6/15/2007,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992166,Center for Democracy & Technology,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514992166/1,,2/13/2008,Center for Democracy & Technology,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992169,Christopher Soghoian,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514992169/1,,Cited in Order,Christopher Soghoian,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992174,Christopher Soghoian,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/5514992174/1,,Cited in Order,Christopher Soghoian,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680964,Computer & Communications Industry Association,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514680964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680964,Computer & Communications Industry Association,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514680964/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992132,Computer & Communications Industry Association,Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/5514992132/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992132,Computer & Communications Industry Association,Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/5514992132/1,,,Computer & Communications Industry Association,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680765,"Data Foundry, Inc.",Refer to Attachment(s).,25,https://www.fcc.gov/ecfs/document/5514680765/1,,,Data Foundry,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,1/31/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514990138,David Gerisch,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514990138/1,,Comcast customer,David Gerisch,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681186,Google Inc.,Refer to Attachment(s).,47,https://www.fcc.gov/ecfs/document/5514681186/1,,,Google,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,3/17/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515018008,Independent Film and Television Alliance,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515018008/1,,3/14/2008,Independent Film & Television Alliance,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,7/22/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183361,Media Access Project,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515183361/1,,,Media Access Project,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992225,National Assoc of REALTORS,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5514992225/1,,2/13/2008,National Association of Realtors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514680827,National Association of State Utility Consumer Advocates,Refer to Attachment(s).,34,https://www.fcc.gov/ecfs/document/5514680827/1,,,National Association of State Utility Consumer Advocates,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992200,National Association of State Utility Consumer Advocates,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5514992200/1,,,National Association of State Utility Consumer Advocates,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/14/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992465,NATOA,Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/5514992465/1,,,National Association of Telecommunications Officers & Advisors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/14/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992466,NATOA,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514992466/1,,,National Association of Telecommunications Officers & Advisors,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,6/15/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514681112,Open Internet Coalition,Refer to Attachment(s).,85,https://www.fcc.gov/ecfs/document/5514681112/1,,,Open Internet Coalition,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992263,Open Internet Coalition,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514992263/1,,,Open Internet Coalition,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/25/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994251,Robert M Topolski,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514994251/1,,2/25/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/26/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994588,Robert M Topolski,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5514994588/1,,2/26/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/27/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514997313,Robert M Topolski,Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/5514997313/1,,2/27/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/28/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515006318,Robert M Topolski,Refer to Attachment(s).,17,https://www.fcc.gov/ecfs/document/5515006318/1,,2/28/2008,Robb Topolski,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992288,Vonage Holdings Corp.,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5514992288/1,,2/13/2008,Vonage,,,,,,,,,,,,,,,,,
Pro,Solo,Comments,2/13/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514992265,"Vuze, Inc.",Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514992265/1,,2/13/2008,Vuze,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/11/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515175551,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515175551/1,,6/10/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
Pro (Neutral),Solo,In person,6/13/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515177805,Audible Magic Corp.,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515177805/1,,6/12/2008,Audible Magic Corp.,,,,,,,,,,,,,,,,,
